Gene,CI_Genetic Association,CI_Differential expression,CI_Mechanism of Action,CI_In vitro_in vivo experiment,T_Small molecules,T_Antibody,T_siRNA,CP_Competitiveness_Small_Molecules,CP_Competitiveness_Antibody_or_siRNA,CP_Unmet needs,DO_experimental_model_availability,DO_biomarkers,DO_Safety
ndufa10,0.5,-0.5,0.5,0.5,-1.0,-1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,
adra1b,0.0,-0.5,0.5,0.5,1.0,0.5,0.5,-1.0,1.0,0.0,1.0,0.5,0.0,
esr1,0.5,0.5,0.5,0.5,1.0,0.0,0.0,0.5,-0.5,0.5,1.0,0.5,0.5,
adrb3,0.5,1.0,0.5,0.5,1.0,0.0,0.5,0.0,0.5,0.5,1.0,0.0,-0.5,
ccr2,0.5,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,
mapk14,1.0,1.0,1.0,0.5,1.0,-1.0,0.5,0.0,0.5,0.5,1.0,0.0,-0.5,
agtr1,0.5,-0.5,1.0,0.5,1.0,0.5,0.5,-1.0,0.5,0.5,1.0,-0.5,-0.5,
il1b,0.5,1.0,1.0,1.0,-1.0,1.0,0.0,0.0,-0.5,0.5,1.0,0.5,-1.0,
abcc8,1.0,0.0,0.5,0.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,-0.5,-0.5,
apoe,1.0,-0.5,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,1.0,0.5,-0.5,
ldlr,1.0,-0.5,1.0,0.5,1.0,0.5,1.0,0.5,-0.5,0.5,1.0,0.5,1.0,
abcg8,0.5,1.0,0.5,0.5,0.5,0.0,1.0,0.5,1.0,0.5,1.0,0.5,-0.5,
lpl,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,
abcg5,1.0,0.5,0.5,0.5,0.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,-1.0,
apoa1,0.5,-0.5,1.0,0.5,0.5,0.5,0.5,-0.5,-0.5,0.5,1.0,1.0,-0.5,
cdkn2b,1.0,1.0,1.0,0.5,0.0,0.5,0.0,0.0,0.5,1.0,1.0,0.0,-0.5,
crp,0.5,1.0,0.5,1.0,0.5,0.0,1.0,0.5,1.0,0.5,1.0,1.0,-0.5,
cdkn2b-as1,1.0,1.0,0.5,0.5,-1.0,-1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,
pon1,0.5,0.5,1.0,0.5,0.5,-1.0,0.5,0.0,0.5,0.5,1.0,0.5,0.0,
cdkn2a,0.5,1.0,0.5,0.5,1.0,-1.0,0.0,0.5,0.5,0.5,0.5,-0.5,-0.5,
lmna,1.0,-0.5,1.0,0.5,0.5,-1.0,-0.5,0.5,1.0,0.5,1.0,0.0,-0.5,
adipoq,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,
tug1,1.0,1.0,1.0,0.5,-1.0,-1.0,0.5,0.5,1.0,0.5,1.0,0.5,0.0,
olr1,0.5,1.0,1.0,1.0,0.0,1.0,0.5,0.5,-0.5,1.0,1.0,1.0,0.0,
phactr1,1.0,1.0,1.0,0.5,-0.5,-0.5,0.5,1.0,0.0,1.0,0.5,0.0,0.0,
pltp,0.5,1.0,1.0,0.5,-0.5,-1.0,0.5,1.0,1.0,1.0,1.0,1.0,-0.5,
cdh13,0.0,-0.5,0.5,0.5,-1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,-0.5,
lcat,1.0,-0.5,1.0,0.5,1.0,1.0,0.5,0.5,-0.5,0.5,1.0,1.0,-0.5,
tcf7l2,0.0,1.0,0.5,0.5,0.0,-0.5,0.5,0.5,1.0,0.5,1.0,0.0,-0.5,
apoa2,0.5,0.5,0.5,-0.5,0.0,0.5,1.0,0.5,0.5,0.5,1.0,0.5,-0.5,
hulc,0.0,1.0,0.0,0.5,-1.0,-1.0,1.0,0.5,0.0,0.5,1.0,0.0,0.0,
scarb1,1.0,1.0,0.5,0.5,-0.5,0.5,1.0,0.0,0.5,0.5,0.5,0.0,0.0,
vcam1,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.5,
ins,1.0,0.5,1.0,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.5,-1.0,
cyp27a1,0.5,1.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,1.0,0.5,0.0,
ccdc71l,0.5,-0.5,0.5,0.5,-1.0,-1.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,
mthfr,1.0,-0.5,0.5,1.0,0.0,-1.0,0.0,0.5,1.0,0.5,1.0,0.5,0.0,
tcf21,1.0,-0.5,1.0,0.5,-1.0,-1.0,0.5,0.5,0.5,0.5,1.0,0.0,-0.5,
twist1,1.0,1.0,1.0,0.5,-0.5,-0.5,0.5,1.0,1.0,0.5,1.0,0.0,-0.5,
hoxc-as1,0.5,1.0,0.0,0.5,-1.0,-1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,
trib1,1.0,1.0,1.0,0.5,0.0,-1.0,0.5,1.0,1.0,1.0,1.0,0.0,-0.5,
hhipl1,0.5,0.0,0.5,0.5,-1.0,-0.5,0.5,0.5,-1.0,0.0,1.0,0.5,0.5,
apoc2,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.5,1.0,1.0,1.0,-0.5,
abo,0.5,-0.5,0.5,0.5,-0.5,-1.0,-0.5,1.0,1.0,1.0,1.0,0.5,0.0,
jcad,1.0,1.0,1.0,0.5,-1.0,-1.0,1.0,1.0,0.5,0.0,0.5,0.0,-0.5,
wrn,1.0,-0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.0,
cdkn1a,-0.5,-0.5,0.5,0.5,0.5,-1.0,0.5,0.5,0.5,0.5,1.0,0.0,-0.5,
fads2,1.0,-0.5,0.5,0.5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,
atp6ap2,0.5,-0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,-0.5,1.0,0.0,-0.5,
tpst2,1.0,-0.5,0.5,0.5,0.0,-0.5,0.0,1.0,1.0,1.0,0.5,-0.5,-0.5,
tbx21,0.0,1.0,0.5,0.5,-0.5,-0.5,0.5,0.5,1.0,0.0,1.0,0.0,-0.5,
tent5a,0.0,1.0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.5,1.0,0.0,-0.5,
pdgfd,1.0,1.0,1.0,0.5,0.5,0.5,0.0,1.0,0.0,0.5,1.0,-0.5,-0.5,
ncor2,0.0,-0.5,0.5,0.5,0.5,-1.0,0.5,1.0,1.0,1.0,0.5,0.0,-0.5,
mtap,0.5,1.0,0.5,0.5,1.0,-1.0,0.5,1.0,1.0,1.0,0.5,0.0,0.0,
nfatc1,0.5,1.0,0.5,0.5,-0.5,-1.0,0.0,1.0,1.0,1.0,1.0,0.0,-0.5,
plaur,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,
mark4,1.0,1.0,1.0,0.5,0.5,-1.0,0.5,0.5,1.0,0.5,1.0,0.5,-0.5,
jpx,0.5,-0.5,1.0,0.5,-1.0,-1.0,-0.5,0.0,1.0,1.0,1.0,0.5,-0.5,
atxn3,0.0,-0.5,-0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.0,0.0,
foxo1,1.0,1.0,1.0,0.5,0.5,-1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,
zfas1,0.0,1.0,0.5,0.5,-1.0,-0.5,0.5,1.0,0.0,1.0,1.0,0.0,0.0,
tfam,0.5,1.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,1.0,0.5,-0.5,-0.5,
ep300,0.0,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,1.0,1.0,-0.5,-0.5,
ctsa,0.5,-0.5,0.5,0.5,0.5,-0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.0,
asxl1,0.5,-0.5,1.0,0.5,0.5,-0.5,0.0,1.0,1.0,0.5,1.0,0.0,-0.5,
trib2,0.0,1.0,0.5,0.5,0.5,-0.5,0.5,1.0,1.0,1.0,0.5,0.0,0.0,
hoxa-as3,1.0,1.0,1.0,0.5,-1.0,-1.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,
dnase1,0.0,-0.5,0.5,1.0,0.5,0.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,
angptl8,0.5,1.0,1.0,1.0,0.0,0.5,0.5,1.0,0.5,1.0,1.0,0.5,-0.5,
foxp1,1.0,1.0,1.0,0.5,-0.5,-0.5,0.5,1.0,1.0,0.0,0.5,0.0,-0.5,
msh2,0.0,-0.5,-0.5,0.5,-0.5,-1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.0,
kat2b,0.0,-0.5,0.5,0.0,0.5,-1.0,0.5,0.5,0.5,1.0,1.0,0.0,-0.5,
gata6,0.0,1.0,0.5,0.5,-1.0,-0.5,0.5,1.0,0.0,0.0,0.5,-0.5,-0.5,
card8,0.5,1.0,1.0,0.5,0.5,-1.0,0.5,0.0,0.0,0.5,1.0,0.0,0.0,
abcb11,0.0,0.5,0.0,0.5,0.5,-0.5,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,
anxa1,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,-0.5,
efemp1,0.5,1.0,1.0,0.5,-1.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5,-1.0,
serpina1,0.5,0.0,0.5,0.5,1.0,0.0,0.5,1.0,1.0,0.5,1.0,0.5,-0.5,
il7r,0.0,1.0,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.5,1.0,0.0,-1.0,
hnrnpl,0.0,-0.5,0.5,0.5,0.0,-0.5,0.0,1.0,0.0,0.5,1.0,0.5,0.0,
ctsv,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,1.0,1.0,1.0,0.5,-0.5,
jun,0.0,1.0,0.5,0.5,1.0,-1.0,0.0,0.0,0.5,0.5,1.0,0.0,-0.5,
sesn2,0.0,1.0,0.5,0.5,0.5,-1.0,0.5,0.5,1.0,0.5,1.0,0.0,-0.5,
