Gene,CI_Genetic Association,CI_Differential expression,CI_Mechanism of Action,CI_In vitro_in vivo experiment,T_Small molecules,T_Antibody,T_siRNA,CP_Competitiveness_Small_Molecules,CP_Competitiveness_Antibody_or_siRNA,CP_Unmet needs,DO_experimental_model_availability,DO_biomarkers,DO_Safety
fcgr2a,0.5,1.0,0.5,0.5,-0.5,0.5,-0.5,0.5,0.5,0.0,0.5,0.5,-0.5,
il37,1.0,0.5,1.0,0.5,0.0,0.5,-0.5,0.5,0.5,0.5,0.5,0.5,0.5,
stat4,0.5,0.5,0.5,0.5,0.5,-1.0,0.0,0.5,0.5,0.5,0.5,0.0,-0.5,
ptpn2,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.0,0.5,0.5,1.0,-0.5,-0.5,
tet2,1.0,-0.5,1.0,0.5,0.5,-0.5,0.5,0.5,0.0,0.5,1.0,0.0,-0.5,
egr2,0.5,-0.5,0.5,0.5,-1.0,-0.5,0.5,0.5,0.0,0.5,1.0,-0.5,-1.0,
park7,0.5,1.0,0.5,0.5,0.5,-1.0,-0.5,1.0,1.0,1.0,1.0,0.5,0.0,
lacc1,0.5,-0.5,1.0,0.5,0.0,-1.0,0.5,1.0,1.0,1.0,1.0,0.5,-0.5,
ifih1,1.0,-0.5,1.0,0.5,-0.5,-0.5,0.5,1.0,0.5,-0.5,1.0,0.0,-0.5,
slc22a4,0.5,1.0,0.5,0.5,-0.5,0.0,-0.5,0.5,0.5,0.5,0.5,0.5,0.5,
litaf,0.0,1.0,0.5,0.5,-0.5,0.5,0.0,0.5,1.0,0.0,1.0,0.0,-0.5,
gpr65,1.0,1.0,1.0,0.5,0.5,-1.0,0.0,0.5,0.5,1.0,1.0,0.0,-0.5,
il19,0.0,1.0,0.5,0.5,-1.0,0.5,0.0,1.0,1.0,0.5,0.5,0.5,-0.5,
cdkal1,0.0,-0.5,0.0,0.5,0.0,-0.5,0.0,0.5,1.0,0.0,0.5,0.0,-0.5,
nkx2-3,0.5,1.0,0.5,0.5,-1.0,-1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,
ptpn22,0.5,1.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,1.0,1.0,1.0,-0.5,
gpr35,1.0,1.0,1.0,0.5,1.0,0.0,-0.5,0.5,1.0,0.5,1.0,0.0,0.5,
tnfaip3,1.0,1.0,1.0,0.5,0.0,-0.5,0.0,0.5,0.5,0.0,1.0,0.5,-0.5,
snx20,0.0,-0.5,0.5,0.5,0.0,-1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,
apc,0.5,-0.5,0.5,0.5,0.5,-1.0,0.0,0.5,-0.5,0.5,0.5,0.0,-1.0,
cdkn2a,0.5,-0.5,0.5,0.5,0.0,-1.0,0.5,1.0,0.0,0.5,1.0,-0.5,0.0,
pus10,0.5,-0.5,0.5,0.5,0.0,-1.0,0.0,1.0,-0.5,1.0,1.0,0.0,0.5,
ankrd55,0.5,1.0,0.5,0.5,-1.0,-1.0,0.5,1.0,1.0,1.0,0.5,0.5,-0.5,
card9,1.0,0.5,1.0,0.5,0.5,-0.5,0.0,0.5,1.0,1.0,1.0,0.0,-0.5,
cyld,1.0,1.0,1.0,0.5,0.5,-1.0,0.0,0.5,0.5,0.5,1.0,0.5,0.0,
h2ax,0.0,-0.5,0.5,0.5,1.0,-1.0,0.5,1.0,1.0,0.0,1.0,0.0,-0.5,
rbmx,0.0,-0.5,0.0,0.0,-1.0,-1.0,0.5,1.0,0.5,1.0,1.0,0.5,-0.5,
adsl,0.0,-0.5,0.5,0.5,0.5,-1.0,0.0,0.5,0.0,1.0,0.5,0.0,-1.0,
gmppb,0.0,-0.5,0.0,0.0,-0.5,-1.0,0.0,1.0,1.0,0.5,0.5,0.0,-0.5,
usp47,0.0,-0.5,0.5,0.0,-0.5,-1.0,0.0,1.0,1.0,1.0,1.0,-0.5,0.0,
aqp9,0.0,1.0,0.0,0.5,0.0,0.5,0.5,0.5,1.0,0.5,1.0,-0.5,0.0,
hspa2,0.0,-0.5,-0.5,0.5,0.5,0.5,-0.5,0.5,0.5,0.5,1.0,-0.5,0.0,
grid2ip,0.5,-0.5,0.0,0.5,0.0,-1.0,-1.0,1.0,1.0,1.0,0.5,0.0,0.0,
cldn4,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,1.0,0.0,0.0,
asic3,0.0,-0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.0,-0.5,
cavin1,0.5,1.0,0.5,0.5,0.5,0.5,-0.5,0.5,1.0,0.5,1.0,0.0,-0.5,
npc1,1.0,-0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,1.0,0.5,0.0,-0.5,
actr1a,0.0,-0.5,0.0,0.0,-0.5,0.0,0.0,1.0,1.0,1.0,0.5,-0.5,-0.5,
sox8,0.5,-0.5,0.5,0.0,-1.0,-1.0,0.5,1.0,1.0,1.0,1.0,0.0,-0.5,
ceacam6,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.0,0.5,1.0,0.0,-0.5,
cyba,1.0,-0.5,0.5,0.5,0.5,0.0,0.5,1.0,0.0,0.0,1.0,0.5,-0.5,
gnas,0.0,-0.5,0.5,0.5,0.5,-0.5,0.5,1.0,1.0,1.0,1.0,0.0,-0.5,
actr3,0.0,-0.5,0.5,0.5,-1.0,-1.0,0.0,1.0,1.0,1.0,0.5,0.5,0.0,
dock9,0.0,-0.5,0.5,0.0,0.5,0.5,-0.5,0.5,0.0,0.5,1.0,-0.5,0.5,
clybl,0.5,-0.5,0.5,0.5,0.5,-1.0,0.5,1.0,1.0,0.0,1.0,-0.5,-0.5,
ace2,0.5,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.0,
col16a1,0.0,1.0,0.5,0.5,-1.0,0.5,0.0,1.0,1.0,1.0,0.5,0.0,0.0,
tcirg1,0.5,-0.5,0.0,0.5,-0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.0,-0.5,
rrbp1,0.0,-0.5,0.0,0.0,-1.0,-0.5,0.5,1.0,1.0,0.5,0.5,0.0,0.0,
nxpe4,0.5,0.5,0.5,0.0,-1.0,0.0,0.5,1.0,1.0,1.0,0.5,-0.5,0.0,
thbs1,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.0,1.0,1.0,0.5,-0.5,
gsdmb,1.0,1.0,1.0,0.5,0.0,0.5,1.0,1.0,1.0,1.0,0.5,0.0,-0.5,
spred2,0.5,-0.5,1.0,0.5,-0.5,0.0,0.5,1.0,1.0,1.0,0.5,-0.5,-0.5,
nudt15,0.5,-0.5,0.5,0.5,1.0,-1.0,0.0,-1.0,1.0,-1.0,1.0,0.5,-0.5,
cirbp,0.0,1.0,0.5,0.5,-1.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,
bid,0.0,-0.5,0.5,0.5,-0.5,-1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,
naaladl1,0.0,-0.5,0.0,0.0,-1.0,-1.0,0.5,1.0,0.5,1.0,1.0,0.0,0.0,
limk1,0.0,0.0,0.0,0.5,0.5,-0.5,0.5,0.5,-0.5,1.0,1.0,0.0,0.0,
carmil2,1.0,1.0,1.0,0.5,-0.5,-0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,
skic3,1.0,-0.5,0.5,0.5,-0.5,-1.0,-0.5,1.0,1.0,1.0,1.0,-0.5,0.0,
ccnb1,0.0,-0.5,0.0,0.0,1.0,-1.0,0.5,1.0,1.0,0.0,1.0,-0.5,0.0,
ralgapa1,0.0,-0.5,0.0,0.5,-1.0,-1.0,0.5,1.0,1.0,1.0,0.5,0.0,-0.5,
aldh1l1,0.5,-0.5,0.5,0.5,-0.5,-0.5,0.5,1.0,1.0,1.0,1.0,-0.5,0.0,
slc26a2,0.0,1.0,0.0,0.5,-0.5,0.5,0.0,0.5,1.0,1.0,0.5,-0.5,-0.5,
rbp4,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,1.0,0.0,0.5,1.0,0.0,
