Gene,CI_Genetic Association,CI_Differential expression,CI_Mechanism of Action,CI_In vitro_in vivo experiment,T_Small molecules,T_Antibody,T_siRNA,CP_Competitiveness_Small_Molecules,CP_Competitiveness_Antibody_or_siRNA,CP_Unmet needs,DO_experimental_model_availability,DO_biomarkers,DO_Safety
mmel1,0.0,-0.5,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,
vav3,0.0,-0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,-0.5,0.5,
tff2,0.0,0.5,0.0,0.5,-1.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.5,
dgkq,0.0,-0.5,0.5,0.5,0.5,-0.5,0.5,0.5,1.0,0.0,1.0,0.0,0.0,
timd4,0.5,-0.5,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.0,1.0,0.5,-0.5,
serpinf1,0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,-0.5,0.0,-0.5,
il31,0.0,0.0,0.5,0.5,-0.5,1.0,0.5,0.5,-0.5,0.0,1.0,0.5,1.0,
rnase3,0.0,0.5,0.5,-0.5,0.0,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.0,
spata31d4,0.0,-0.5,0.0,0.0,-1.0,-1.0,0.0,1.0,1.0,1.0,-1.0,0.5,0.0,
dap,0.0,-0.5,0.5,0.0,0.5,-1.0,0.0,0.0,0.5,0.5,1.0,0.5,-0.5,
cyba,0.5,-0.5,0.5,0.5,-0.5,0.5,-0.5,0.5,-0.5,0.5,1.0,0.5,0.0,
gsdmb,1.0,-0.5,-0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,0.0,0.5,
lce3c,1.0,0.5,0.5,0.5,-1.0,-0.5,0.0,1.0,-1.0,0.0,1.0,0.0,0.5,
gpr31,0.0,-0.5,0.0,0.0,-0.5,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.5,
linc00304,0.5,1.0,0.5,0.0,-1.0,-1.0,0.0,1.0,1.0,1.0,0.5,0.5,0.0,
mlkl,0.5,1.0,0.5,0.5,0.5,-1.0,0.0,0.5,0.5,0.5,1.0,0.0,0.5,
rnase7,0.0,-0.5,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.5,-0.5,0.0,
ypel5,0.0,-0.5,0.5,0.0,-1.0,-0.5,0.0,1.0,1.0,0.5,0.5,0.5,-0.5,
vcam1,0.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.0,0.5,0.5,0.5,-0.5,
swap70,1.0,0.5,1.0,0.5,-1.0,-0.5,0.5,0.5,1.0,1.0,1.0,0.5,-0.5,
socs1,1.0,1.0,1.0,0.5,-0.5,-0.5,0.5,1.0,0.0,0.5,0.5,0.5,-1.0,
p4ha2,0.5,0.0,0.5,0.5,1.0,-1.0,0.0,-0.5,0.5,1.0,1.0,0.0,0.0,
padi4,0.5,1.0,1.0,0.5,0.5,0.5,-0.5,1.0,0.5,1.0,1.0,-0.5,-0.5,
gin1,0.0,-0.5,0.0,0.0,-1.0,-1.0,0.0,1.0,1.0,1.0,1.0,0.5,-1.0,
olig3,0.5,-0.5,0.0,0.0,-1.0,-1.0,-0.5,1.0,1.0,1.0,1.0,0.5,-0.5,
il7,1.0,1.0,1.0,0.5,0.0,1.0,0.0,0.5,0.5,0.5,1.0,1.0,0.5,
hk2,0.5,1.0,1.0,0.5,0.5,-0.5,-0.5,0.5,0.5,1.0,1.0,0.0,0.5,
traf4,0.0,-0.5,0.5,0.5,1.0,0.5,0.0,1.0,1.0,1.0,0.5,-0.5,-0.5,
ptpn22,1.0,1.0,1.0,0.5,0.5,-1.0,0.5,0.5,0.5,0.5,0.5,0.0,-0.5,
tnxb,0.0,1.0,-0.5,0.5,-1.0,0.5,0.5,1.0,1.0,0.0,1.0,0.5,-0.5,
macir,0.5,1.0,0.5,0.0,-1.0,-1.0,0.5,1.0,1.0,1.0,1.0,-0.5,0.0,
rasgrp1,1.0,1.0,1.0,0.5,0.5,-1.0,0.5,1.0,1.0,1.0,0.5,0.0,-0.5,
il23r,0.5,0.5,0.5,1.0,1.0,1.0,0.0,-0.5,-0.5,0.5,1.0,0.5,-0.5,
fcgr2a,1.0,1.0,-0.5,0.5,0.5,0.5,-0.5,0.5,0.5,0.5,1.0,1.0,-0.5,
mica,0.0,1.0,0.5,0.5,-1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.5,0.0,
lacc1,0.5,1.0,0.5,0.5,-1.0,-1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.0,
rel,0.5,0.5,1.0,0.5,0.5,-1.0,0.5,0.5,1.0,0.5,1.0,0.5,0.0,
cd244,0.5,1.0,0.5,0.5,0.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,-0.5,
tnfaip3,1.0,1.0,0.5,0.5,-0.5,0.5,0.0,0.5,0.5,1.0,0.5,0.0,-0.5,
traf1,1.0,-0.5,0.5,0.5,0.5,-1.0,0.0,1.0,0.5,0.5,1.0,1.0,-0.5,
padi2,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,-0.5,
ccr6,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.0,
fcrl3,1.0,1.0,1.0,0.5,-0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,
tlr1,0.5,1.0,0.5,0.5,0.5,0.0,-0.5,0.5,0.0,0.5,0.5,0.5,0.0,
hla-b,1.0,-0.5,1.0,0.0,1.0,0.5,0.0,0.5,1.0,0.5,1.0,1.0,-1.0,
ankrd55,0.5,0.5,0.0,0.5,-0.5,-1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.0,
ptpn2,1.0,-0.5,1.0,0.5,1.0,-0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.0,
nfkbil1,0.5,-0.5,0.5,0.5,-0.5,-1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.0,
ciita,0.5,-0.5,0.5,0.5,-0.5,-0.5,0.5,0.5,0.0,1.0,1.0,0.5,-1.0,
slc22a4,0.5,-0.5,0.5,0.5,0.5,0.0,0.5,0.5,1.0,0.5,1.0,0.0,0.0,
irf5,1.0,1.0,1.0,0.5,0.5,-1.0,0.5,0.5,0.5,0.5,1.0,0.0,-0.5,
stat4,1.0,-0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.0,
tagap,0.5,1.0,1.0,0.5,0.0,-1.0,-1.0,0.5,1.0,0.5,1.0,0.0,-0.5,
aff3,0.5,0.5,0.5,0.5,0.0,-1.0,0.5,1.0,1.0,1.0,1.0,0.5,-0.5,
inava,0.5,-0.5,0.5,0.5,-1.0,-0.5,0.0,0.5,1.0,0.5,0.5,0.0,-0.5,
mir146a,1.0,1.0,1.0,0.5,-1.0,-1.0,0.5,0.5,0.0,0.5,1.0,1.0,-0.5,
vnn2,0.0,1.0,0.5,0.0,0.0,0.5,-0.5,1.0,1.0,0.5,1.0,1.0,0.0,
kir2ds5,0.0,0.0,-0.5,0.5,-1.0,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.0,
slc22a5,0.0,-0.5,0.5,0.5,-0.5,-0.5,0.5,1.0,1.0,1.0,1.0,1.0,-0.5,
bdnf,0.5,1.0,0.5,0.5,0.5,-0.5,-1.0,0.5,1.0,1.0,1.0,1.0,0.0,
serpinb2,0.0,1.0,0.5,0.5,0.5,-1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
stk4,0.5,-0.5,0.5,0.0,0.5,-1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,
anxa4,0.5,-0.5,0.5,0.0,-0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,
tmem175,0.5,1.0,-0.5,0.5,0.5,0.5,0.0,0.5,1.0,0.5,0.5,-0.5,0.0,
hla-dqb1,1.0,0.5,1.0,0.5,0.0,0.5,0.5,1.0,0.0,0.0,1.0,0.5,0.5,
supt20h,1.0,-0.5,0.5,0.5,-1.0,-0.5,-0.5,1.0,1.0,1.0,1.0,0.5,-0.5,
hla-dqa1,0.5,1.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0,-1.0,
crp,0.5,1.0,0.5,1.0,1.0,0.0,1.0,0.0,-0.5,0.5,1.0,1.0,0.0,
cd226,1.0,0.5,0.5,0.5,0.5,1.0,-0.5,1.0,-0.5,0.0,1.0,1.0,-0.5,
jazf1,0.5,-0.5,0.5,0.5,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,
irf8,0.5,1.0,1.0,0.5,1.0,-1.0,0.5,0.0,1.0,0.5,1.0,0.0,-0.5,
ets1,0.5,1.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.0,-0.5,
arid5b,0.5,-0.5,1.0,0.5,0.5,-1.0,0.5,1.0,1.0,0.5,0.5,0.0,-0.5,
nfkbia,1.0,-0.5,1.0,0.5,0.5,-1.0,0.0,0.5,0.5,0.5,1.0,0.0,-0.5,
micb,0.5,1.0,0.5,0.0,-0.5,1.0,-0.5,1.0,0.0,0.5,1.0,1.0,0.0,
spred2,0.5,-0.5,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.5,0.5,0.0,-0.5,
hla-c,0.0,-0.5,0.5,0.5,0.0,0.5,0.5,1.0,0.0,0.5,0.0,0.5,-1.0,
hoxd13,0.0,-0.5,0.5,0.5,-1.0,-0.5,0.5,1.0,1.0,0.0,0.5,0.0,-0.5,
