Gene,CI_Genetic Association,CI_Differential expression,CI_Mechanism of Action,CI_In vitro_in vivo experiment,T_Small molecules,T_Antibody,T_siRNA,CP_Competitiveness_Small_Molecules,CP_Competitiveness_Antibody_or_siRNA,CP_Unmet needs,DO_experimental_model_availability,DO_biomarkers,DO_Safety
adam30,0.0,-1.0,0.0,0.0,-0.5,-1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,
dnaja3,0.5,1.0,1.0,0.5,0.5,-0.5,0.5,0.5,0.0,0.0,0.5,0.5,-0.5,
klc2,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.5,-0.5,-0.5,
dnah10os,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,1.0,0.5,1.0,0.5,0.0,
pik3r3,0.0,-0.5,0.0,0.5,-0.5,-1.0,0.0,1.0,1.0,0.0,0.5,0.0,0.5,
dnah10,0.0,0.5,0.5,0.0,-1.0,-1.0,-0.5,1.0,1.0,1.0,1.0,0.0,0.0,
npc1,1.0,-0.5,0.5,0.5,0.5,-1.0,-0.5,1.0,-1.0,1.0,1.0,0.0,-0.5,
eva1a,0.0,-0.5,-0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,-1.0,-0.5,0.0,
cobll1,0.5,-0.5,0.0,0.5,-0.5,-1.0,0.5,1.0,0.0,0.0,1.0,0.5,0.0,
sugp1,0.0,-0.5,0.5,0.5,0.5,-1.0,0.5,0.5,1.0,0.5,1.0,0.5,0.0,
macf1,0.0,-0.5,0.5,0.5,0.5,-0.5,0.5,1.0,1.0,0.0,0.5,0.5,-0.5,
dstyk,0.0,-0.5,0.0,0.5,0.5,-0.5,-0.5,1.0,1.0,1.0,0.5,0.5,0.0,
