Gene,CI_Genetic Association,CI_Differential expression,CI_Mechanism of Action,CI_In vitro_in vivo experiment,T_Small molecules,T_Antibody,T_siRNA,CP_Competitiveness_Small_Molecules,CP_Competitiveness_Antibody_or_siRNA,CP_Unmet needs,DO_experimental_model_availability,DO_biomarkers,DO_Safety
lyn,0.0,1.0,0.5,0.5,1.0,-0.5,0.5,0.0,0.0,0.5,1.0,0.5,1.0,
ccr2,0.5,-0.5,0.5,0.5,1.0,1.0,0.5,0.0,-0.5,0.5,1.0,0.0,0.5,
ffar1,1.0,1.0,1.0,0.5,1.0,-1.0,0.5,-0.5,1.0,0.5,1.0,0.0,-0.5,
tshz3,0.5,-0.5,0.0,0.5,0.0,-1.0,-0.5,1.0,1.0,1.0,0.5,0.0,-0.5,
cryba1,0.5,0.5,0.5,0.5,-0.5,-1.0,0.0,1.0,0.5,1.0,1.0,0.5,-0.5,
hk2,0.5,1.0,0.5,0.5,0.5,-1.0,0.5,0.5,1.0,-0.5,1.0,0.5,-0.5,
c2,1.0,-0.5,1.0,0.5,-1.0,1.0,0.5,1.0,-0.5,0.5,0.5,0.5,-0.5,
adamts7,0.0,-0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,1.0,1.0,0.0,
xylt2,0.0,-0.5,0.5,0.5,0.0,-1.0,0.0,1.0,0.5,1.0,0.5,0.0,-0.5,
itih4,0.0,0.5,0.0,0.5,-0.5,0.5,1.0,0.5,1.0,-1.0,1.0,1.0,0.0,
rab31,0.0,-0.5,0.5,0.5,-0.5,-0.5,-1.0,1.0,1.0,0.0,1.0,0.0,-0.5,
ppp1r18,0.5,-0.5,0.5,0.0,-1.0,-0.5,0.5,1.0,1.0,0.0,1.0,0.5,-0.5,
ahcy,0.0,-0.5,0.0,0.0,0.5,-1.0,0.5,1.0,1.0,1.0,1.0,0.5,-0.5,
slc22a4,0.5,-0.5,0.5,0.5,0.0,-0.5,0.5,-0.5,1.0,0.5,1.0,0.5,0.5,
atp5me,0.0,-0.5,0.0,0.0,0.0,-1.0,0.5,0.5,0.5,0.5,1.0,0.0,0.0,
tspan15,0.0,-0.5,0.5,0.0,-0.5,0.5,0.5,0.5,0.0,0.0,1.0,0.5,0.0,
mllt3,0.0,-0.5,-0.5,0.0,0.5,-0.5,-0.5,1.0,1.0,1.0,0.5,0.5,0.0,
oard1,0.0,-0.5,0.5,0.5,0.5,-1.0,0.0,1.0,-1.0,0.0,1.0,0.5,-0.5,
pou5f1,0.0,-0.5,0.0,0.5,0.5,-1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.0,
tenm3,0.0,-0.5,0.0,0.0,-1.0,0.0,-0.5,1.0,-0.5,0.5,1.0,0.0,-0.5,
mapk7,0.5,-0.5,0.5,0.5,0.5,-1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,
tsc2,0.5,-0.5,0.5,0.5,1.0,-0.5,0.5,1.0,0.0,0.5,1.0,0.0,-1.0,
nudt12,0.0,-0.5,0.0,0.5,0.5,-1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,
zbtb7a,0.0,-0.5,0.5,0.5,0.5,-1.0,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,
igfbp5,0.5,-0.5,0.5,0.5,-0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,
tenm4,0.5,-0.5,0.0,0.0,-1.0,0.5,0.5,1.0,0.0,0.0,1.0,1.0,-0.5,
phf13,0.0,-0.5,0.5,0.0,0.0,-1.0,0.5,1.0,1.0,-0.5,1.0,0.0,0.0,
agrn,0.0,-0.5,0.5,0.5,-0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,
xrra1,0.0,-0.5,0.0,0.0,-1.0,-1.0,0.0,1.0,1.0,1.0,0.5,-0.5,0.0,
mdh2,0.5,-0.5,0.5,0.5,0.0,-1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,
rnase7,0.0,1.0,-0.5,0.5,-1.0,0.5,0.0,0.5,1.0,0.0,1.0,0.5,0.0,
mtrr,0.5,-0.5,0.5,0.5,0.5,-0.5,0.5,0.5,1.0,0.5,1.0,0.0,-0.5,
agmo,0.5,-0.5,0.5,0.5,-1.0,-1.0,0.5,0.5,0.0,0.5,1.0,0.5,0.5,
hnf1a,1.0,1.0,1.0,0.5,0.5,-0.5,0.5,0.5,0.5,1.0,1.0,0.5,-0.5,
ins,0.5,1.0,1.0,0.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5,
glis3,1.0,-0.5,1.0,0.5,1.0,-1.0,0.5,0.5,1.0,0.5,0.5,0.0,0.0,
ptpn22,0.0,-0.5,0.0,0.0,0.5,-1.0,-0.5,1.0,-1.0,0.0,1.0,0.5,-0.5,
ppp1r3a,1.0,0.5,1.0,1.0,-0.5,-1.0,0.5,0.5,1.0,0.5,0.5,0.0,-0.5,
cdkn2b,0.5,-0.5,0.5,0.5,0.0,-1.0,0.0,1.0,1.0,0.5,0.5,0.0,-0.5,
rfx6,1.0,1.0,1.0,0.5,-1.0,-0.5,0.0,0.5,1.0,0.5,1.0,0.0,0.0,
slc2a4,1.0,0.5,1.0,0.5,0.0,-1.0,0.5,0.5,0.5,1.0,1.0,0.0,-0.5,
lpl,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,-0.5,0.5,1.0,1.0,-0.5,
apoe,0.5,-0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,-0.5,
ttn,0.5,0.5,0.5,0.5,-0.5,-0.5,0.5,1.0,1.0,1.0,0.5,-0.5,-0.5,
ins-igf2,0.5,1.0,0.5,0.5,-0.5,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,
igf2bp2,0.5,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.5,0.5,0.0,-0.5,
lipc,0.5,-0.5,0.5,0.5,0.5,-0.5,1.0,0.5,1.0,0.5,1.0,0.0,0.0,
srrt,-1.0,-0.5,0.0,0.0,-1.0,-1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,
cdkal1,1.0,-0.5,0.5,0.5,1.0,-1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,
slc30a8,0.5,1.0,1.0,0.5,-0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
enpp1,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,
pdx1,1.0,1.0,1.0,0.5,0.5,-0.5,0.5,0.0,0.5,0.5,0.5,0.0,-0.5,
pax4,0.5,-0.5,1.0,0.5,-0.5,-1.0,1.0,0.5,1.0,1.0,1.0,0.5,-0.5,
neurod1,1.0,-0.5,1.0,0.5,0.5,0.5,-0.5,1.0,1.0,0.5,1.0,0.5,-0.5,
tcf7l2,1.0,-0.5,1.0,1.0,0.5,-1.0,0.5,1.0,0.5,1.0,0.5,0.0,0.0,
slc2a2,0.5,0.5,0.5,0.5,0.5,-0.5,1.0,0.5,1.0,0.5,1.0,0.5,-0.5,
hnf1b,1.0,0.5,1.0,0.5,0.5,-1.0,0.0,0.5,0.0,0.0,1.0,0.5,-0.5,
wfs1,0.5,1.0,1.0,0.5,0.5,-1.0,0.5,0.0,0.5,0.5,0.5,0.0,-0.5,
cdkn2a,0.5,1.0,0.5,0.5,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,
hhex,0.5,-0.5,0.5,0.5,-0.5,0.5,1.0,0.5,0.5,1.0,1.0,0.0,-0.5,
jazf1,0.5,1.0,1.0,0.5,-1.0,-1.0,0.5,1.0,1.0,1.0,1.0,0.0,-0.5,
pnpla3,0.5,0.5,0.5,0.5,0.0,0.0,1.0,0.5,0.0,1.0,0.5,-0.5,0.5,
aspn,-1.0,1.0,0.0,0.0,0.0,-1.0,0.5,1.0,0.0,1.0,1.0,0.0,0.5,
adamts9-as2,0.0,0.0,0.5,0.0,-1.0,-1.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,
slc9c1,0.5,-0.5,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0.5,1.0,0.0,0.0,
fam184b,0.0,-0.5,0.0,0.0,-1.0,-1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,
cops3,0.0,-0.5,0.5,0.0,0.0,-0.5,0.5,1.0,0.0,0.0,0.5,0.0,-0.5,
nkx6-3,0.5,0.5,0.5,0.5,-1.0,-0.5,0.5,-1.0,0.0,0.0,1.0,0.0,-0.5,
vav2,0.0,-0.5,0.5,0.5,0.5,-0.5,0.0,1.0,0.0,1.0,0.5,0.0,-0.5,
arrb1,0.0,-0.5,0.5,0.5,0.0,-0.5,0.5,0.5,0.0,0.5,1.0,0.0,-0.5,
rbpj,0.0,-0.5,0.5,0.5,0.5,-1.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,
bdnf,0.5,1.0,1.0,0.5,0.0,0.5,-1.0,0.5,0.5,1.0,1.0,0.5,-0.5,
tbc1d4,1.0,-0.5,1.0,0.5,0.5,-1.0,0.0,0.5,0.5,0.0,0.5,0.0,-0.5,
npc1,0.5,-0.5,-0.5,0.5,0.0,-0.5,0.5,0.5,1.0,1.0,0.5,-0.5,-0.5,
dgkb,0.5,-0.5,0.5,0.5,-0.5,-1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,
adcy5,0.5,-0.5,1.0,0.5,0.5,-0.5,-0.5,0.5,0.5,1.0,1.0,0.5,-1.0,
rasgrp1,0.5,-0.5,0.5,0.5,-0.5,-0.5,-0.5,0.5,1.0,0.0,0.5,0.5,-0.5,
lep,0.5,1.0,0.5,1.0,0.5,1.0,0.0,0.5,-0.5,0.5,1.0,1.0,-0.5,
neurog3,0.5,0.5,0.5,0.5,-0.5,-0.5,-0.5,0.5,0.5,0.0,1.0,0.5,-0.5,
lmna,0.5,-0.5,0.5,0.5,-0.5,-1.0,0.5,0.0,-1.0,1.0,1.0,0.5,-0.5,
tfap2b,0.5,-0.5,0.5,0.5,-1.0,-1.0,-0.5,0.5,0.0,1.0,0.5,0.0,-0.5,
nf1,0.5,-0.5,0.5,0.5,1.0,-1.0,-0.5,1.0,0.0,1.0,1.0,0.0,-1.0,
lpin1,0.5,-0.5,0.5,0.5,-0.5,0.5,0.5,1.0,1.0,0.0,1.0,0.0,-0.5,
