symbol,globalScore,maxClinicalTrialPhase,isInMembrane,isSecreted,hasLigand,hasSmallMoleculeBinder,hasPocket,mouseOrthologMaxIdentityPercentage,hasHighQualityChemicalProbes,geneticConstraint,mouseKoScore,geneEssentiality,hasSafetyEvent,isCancerDriverGene,paralogMaxIdentityPercentage,tissueSpecificity,tissueDistribution,DiseaseSpecific_ClinicLabel,drug_information,GeneFamily,score,GeneCard_Score
FGFR2,0.5707997107217372,1,0,1,1,1,1,0.8781950000000002,1,-0.7973536153365284,-0.9838098899912064,0,No data,-1,-0.29354499999999994,1,0,4.0,"PEMIGATINIB, AZD-4547",,,0.28843023492632286
FGFR3,0.5512042070388093,1,0,1,1,1,0,0.36724499999999977,1,-0.3719524901021046,-0.9425062525911276,0,-1,-1,-0.16252999999999992,0.5,0,4.0,"PEMIGATINIB, AZD-4547",,,0.34936309274296684
FGFR1,0.5378543163666704,1,1,0,1,1,1,0.9087600000000002,1,-0.8702854761408627,-0.9744456469742996,0,-1,No data,-0.29136249999999997,-1,-1,4.0,"PEMIGATINIB, AZD-4547",,,0.2311051496871788
LAG3,0.3613535968146056,1,1,1,0,0,0,0,No data,-0.49739529068555954,-0.26869851984937604,0,No data,No data,0,0.5,0,2.0,FIANLIMAB - phase ii,,,0.06508838755747307
PRKCA,0.3603355209640161,1,1,0,1,1,1,0.9702399999999998,No data,-0.6338820587622421,-0.7604453028837327,0,-1,No data,-0.5089275000000001,0.5,0,2.0,APRINOCARSEN,,,0.13832612063315913
ABCB1,0.3577012281615344,0.75,1,0,1,1,0,0.3476550000000003,0,-0.5326109606167952,-0.8509059500783042,0,-1,No data,-0.40039000000000013,0.5,0,2.0,TARIQUIDAR,,,0.19901444656626333
CDKN2A,0.7120575062223248,No data,0,0,0,0,0,No data,No data,0.04928110022921439,-0.7103755733218592,0,No data,-1,-0.23077000000000006,0.5,0,0.0,Hard negative,CDKN,1.250545756560134,0.5384882503378092
STK11,0.8139821671815913,No data,0,0,1,1,0,0.5034649999999999,No data,-0.8322567201500313,-0.9517892572997805,0,-1,-1,0,-1,-1,0.0,Hard negative,STK,1.2015403982970114,0.3875582311154202
PTEN,0.5607517820667903,No data,0,0,0,1,0,No data,No data,-0.4888518441341946,-0.9668382388525384,0,-1,-1,0,-1,-1,0.0,Hard negative,PTEN,1.1106964690016699,0.5499446869348795
ATM,0.6719598297449291,No data,0,0,1,1,0,0.20974999999999966,1,-0.24598874765576162,-0.9367295202318956,0,-1,-1,0,-1,-1,0.0,Hard negative,ATM,1.0886630528450072,0.41670322310007807
RB1,0.6872781108578393,No data,0,0,1,1,0,0.5258600000000001,No data,-0.9612419254011252,-0.9719696648282539,0,No data,-1,0,-1,-1,0.0,Hard negative,RB,1.0536751159096052,0.366397005051766
BRCA1,0.4861923223340199,No data,0,0,0,1,0,0,No data,0.0032298395499061883,-0.9488070609094501,0,No data,-1,No data,-1,-1,0.0,Hard negative,BRCA,0.9841152126799622,0.49792289034594234
DICER1,0.7404100935421235,No data,0,0,0,0,0,0.6436,No data,-0.9264430089602,-0.9276665084131227,0,No data,-1,No data,-1,-1,0.0,Hard negative,DICER,0.9793771177810275,0.23896702423890398
MLH1,0.4969449429661329,No data,0,0,0,0,0,0.4444450000000003,No data,-0.4063346530527193,-0.783087744469981,0,No data,-1,0,-1,-1,0.0,Hard negative,MLH,0.9201784080138566,0.42323346504772374
APC,0.6064223136768085,No data,1,0,1,1,0,0.5233899999999998,No data,-0.9312356740987706,-0.9708563112827364,0,No data,-1,0,0.5,-1,0.0,Hard negative,APC,0.919146187348734,0.31272387367192545
SMARCA4,0.6915238440339154,No data,0,0,1,1,0,0.8633899999999997,1,-0.9974994790581371,-0.9315863245956354,0,No data,-1,-0.37158499999999994,-1,-1,0.0,Hard negative,SMARCA,0.8868821890357598,0.19535834500184432
NRG1,0.6833575667262031,No data,0,1,0,0,0,0.34375,No data,-0.813398624713482,-0.9727359119852138,0,No data,No data,0,0.5,0,0.0,Hard negative,NRG,0.8805674509460553,0.1972098842198522
SMAD4,0.5372624773516592,No data,0,0,0,0,1,0.9184800000000003,No data,-0.8610127109814545,-0.8617667785562089,0,No data,-1,0,-1,-1,0.0,Hard negative,SMAD,0.8617823512852807,0.3245198739336214
PTCH1,0.4455683060984636,No data,0,0,0,0,0,0.7581200000000002,No data,-0.9916649301937903,-0.9614678319968469,0,No data,-1,0,0.5,0,0.0,Hard negative,PTCH,0.8408514278658186,0.39528312176735503
BRCA2,0.47052359125934,No data,0,0,0,0,0,0,No data,-0.3404876015836633,-0.9473775417672009,0,No data,-1,No data,0.5,0.5,0.0,Hard negative,BRCA,0.83135700718919,0.36083341592985
FBXW7,0.5309837312435387,No data,0,0,0,0,0,0.8231949999999998,No data,-0.8470514690560533,-0.941448718558322,0,No data,-1,0,0.5,-1,0.0,Hard negative,FBXW,0.8244050258111837,0.293421294567645
TP63,0.6124740358322553,No data,0,0,0,0,0,0.8970599999999997,No data,-0.8018337153573661,-0.9458255257425776,0,No data,-1,0,0.5,0,0.0,Hard negative,TP,0.8218679043244917,0.2093938684922364
CDH1,0.4504463981853983,No data,1,0,0,0,0,0.053289999999999796,0,-0.5874140445926235,-0.8900775914690636,0,No data,-1,0,0.5,0,0.0,Hard negative,CDH,0.8167444430129069,0.3662980448275086
SETD2,0.6012158821439286,No data,0,0,1,1,0,0.23947000000000002,No data,-0.8811210668889352,-0.8995421872249384,0,No data,-1,0,-1,-1,0.0,Hard negative,SETD,0.7991583022483312,0.19794242010440252
MYC,0.4606075524212201,No data,0,0,1,1,0,0.4933900000000001,No data,-0.9280058345488643,-0.9487089729956111,-1,-1,No data,0,0.5,0,0.0,Hard negative,MYC,0.7965427878809848,0.3359352354597646
PALB2,0.4424032640906704,No data,0,0,0,0,1,0,No data,0.1219003959158158,-0.8880612937203233,0,No data,No data,No data,-1,-1,0.0,Hard negative,PALB,0.7962826047342714,0.353879340643601
NKX2-1,0.4873590738242004,No data,0,0,0,0,0,0.5511200000000003,No data,-0.3948739320691811,-0.8760282377061281,0,No data,No data,0,0.75,0.5,0.0,Hard negative,NKX,0.7958946789207189,0.3085356050965185
TSC2,0.5959695727820011,No data,0,0,0,0,0,0.5766449999999999,No data,-0.9919774953115232,-0.9582982633811904,0,No data,-1,0,-1,-1,0.0,Hard negative,TSC,0.7947286339984762,0.19875906121647502
NF1,0.6139513341317023,No data,1,0,0,0,1,0.9242699999999999,No data,-0.7715148989372786,-0.976825678357768,0,No data,-1,0,-1,-1,0.0,Hard negative,NF,0.7887859389015281,0.17483460476982585
U2AF1,0.627209605119346,No data,0,0,0,0,0,0.9791649999999997,No data,-0.8685142738070432,-0.012703341738722895,-1,No data,-1,0,-1,-1,0.0,Hard negative,U,0.7841489818471183,0.15693937672777242
ARID1A,0.6363059235759592,No data,0,0,0,0,0,0.7943100000000001,No data,-0.9939570743904981,-0.9125711733284766,0,No data,-1,0,-1,-1,0.0,Hard negative,ARID,0.7731437306739067,0.13683780709794754
MSH2,0.4455248522590615,No data,0,0,0,0,1,0.6252699999999998,No data,-0.7106688893519484,-0.8596826489733145,0,No data,-1,0,-1,-1,0.0,Hard negative,MSH,0.7709085451664669,0.3253836929074054
FAS,0.4371703854933399,No data,1,1,0,0,0,0,1,-0.5725151073140238,-0.9710653989528706,0,-1,-1,0,-1,0,0.0,Hard negative,FAS,0.7676709213108617,0.3305005358175218
KMT2D,0.5582734233775135,No data,1,0,0,0,0,0.4473550000000003,No data,-0.977495311523234,-0.8211678113268428,0,No data,No data,0,-1,-1,0.0,Hard negative,KMT,0.7558870967398834,0.19761367336236996
MSH6,0.4264962824438049,No data,0,0,0,0,1,0.30882500000000024,No data,-0.5007293186080433,-0.6568543061808804,0,No data,-1,0,-1,-1,0.0,Hard negative,MSH,0.7463680224172096,0.3198717399734046
EP300,0.5027230241786504,No data,0,0,1,1,1,0.695525,1,-0.9792665138570535,-0.9678550636840355,0,No data,-1,0,-1,-1,0.0,Hard negative,EP,0.745760463697823,0.2430374395191725
B2M,0.4930169960585587,No data,1,1,0,0,1,0,No data,-0.2470306313815378,-0.8702122431272286,0,No data,-1,0,-1,-1,0.0,Hard negative,B,0.7456726713917481,0.25265567533318944
RBM10,0.6852159585405274,No data,0,0,0,0,0,0.8010750000000002,No data,-0.9733277766201291,-0.7105961929155763,0,No data,-1,0,-1,-1,0.0,Hard negative,RBM,0.722370917963054,0.037154959422526584
MXRA5,0.5847359226296539,No data,0,1,0,0,0,No data,No data,-0.6291935819962492,No data,0,No data,No data,0,0.5,0,0.0,Hard negative,MXRA,0.7214412224258437,0.13670529979618987
RHOA,0.4617830466579457,No data,1,0,0,1,0,0.9740949999999998,No data,-0.30266722233798704,0,0,No data,-1,-0.792745,-1,-1,0.0,Hard negative,RHOA,0.7203542082620502,0.2585711616041045
PMS2,0.413955399090979,No data,0,0,0,0,0,0,No data,0.41560741821212743,-0.7673141823395946,0,No data,-1,0,-1,-1,0.0,Hard negative,PMS,0.6993817088347969,0.2854263097438179
BARD1,0.471316277541241,No data,0,0,0,0,0,0,No data,0.5055219837466138,-0.6993035018261556,-1,No data,-1,No data,-1,0,0.0,Hard negative,BARD,0.6969120323504376,0.22559575480919664
GNAS,0.4797373384056384,No data,1,0,0,0,0,0.6954300000000003,No data,-0.663575744946864,-0.9616225013312291,0,No data,-1,-0.28934,-1,-1,0.0,Hard negative,GNAS,0.6907465096425754,0.21100917123693705
BRIP1,0.469225725283863,No data,0,0,0,0,0,0,No data,-0.1544071681600333,-0.7074619466205697,0,No data,-1,0,0.75,0.5,0.0,Hard negative,BRIP,0.6905144811747373,0.2212887558908743
TGFBR2,0.44556117101528,No data,1,1,1,1,0,0.6031750000000002,No data,-0.47384871848301735,-0.9542137503260714,0,-1,-1,0,-1,-1,0.0,Hard negative,TGFBR,0.6897617403342292,0.24420056931894923
NBN,0.4684322444054001,No data,0,0,0,0,0,0,No data,0.1270056261721193,-0.8736713679660257,0,No data,No data,No data,-1,-1,0.0,Hard negative,NBN,0.6817304372549919,0.21329819284959184
RHOV,0.1128286828596405,No data,1,0,0,0,0,0.9576250000000002,No data,-0.46759741612836003,No data,0,No data,No data,0,0.5,0,0.0,Soft negative,RHOV,0.12518106687179414,0.012352384012153645
LRRC1,0.0724848988232456,No data,0,0,0,0,0,0.6564900000000001,No data,-0.6982704730152115,No data,0,No data,No data,-0.07919750000000007,-1,0,0.0,Soft negative,LRRC,0.0908172092781958,0.018332310454950197
KIF21B,0.0832479295444851,No data,1,0,0,0,0,0.7874299999999999,No data,-0.590539695769952,-0.035273244377982405,0,No data,No data,-0.03111499999999996,0.5,0,0.0,Soft negative,KIF,0.09337479682663219,0.010126867282147092
THEM4,0.2309874091779386,No data,1,0,0,0,0,0,No data,0.6914982287976661,No data,0,No data,No data,0,-1,-1,0.0,Soft negative,THEM,0.2521061186946804,0.021118709516741812
RBBP4,0.245571079991251,No data,0,0,1,1,1,1,No data,-0.820795999166493,-0.8397195692882337,-1,No data,No data,-0.7117650000000001,-1,-1,0.0,Soft negative,RBBP,0.2914697855060455,0.045898705514794504
LINC00958,0.0484999004289946,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,0.0,Soft negative,LINC,0.10948088595694491,0.0609809855279503
USP17L9P,0.0927234790975618,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,0.0,Soft negative,USP,0.10110732469436029,0.008383845596798487
VDAC3,0.011087395640541,No data,0,0,0,0,0,0.9116599999999998,No data,-0.8953948739320692,-0.7644380805629297,0,No data,No data,-0.33745499999999995,0.75,-1,0.0,Soft negative,VDAC,0.028049056285194038,0.01696166064465304
PRDM16-DT,0.0098965272198903,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,0.0,Soft negative,PRDM,0.037092508630824965,0.027195981410934662
USP49,0.0344325231281247,No data,0,0,0,0,0,0.5058149999999998,No data,-0.696186705563659,-0.5702488687622872,0,No data,No data,-0.018895000000000016,-1,0,0.0,Soft negative,USP,0.056577143295058266,0.022144620166933568
SERPINB3,0.0474715747068291,No data,1,0,0,0,0,0,No data,0.8751823296520109,-0.08949666429990372,0,No data,No data,-0.7948725,0.75,0,0.0,Soft negative,SERPINB,0.19814910437878214,0.15067752967195303
FTX,0.0790465606085299,No data,No data,No data,No data,No data,No data,No data,No data,No data,0,No data,No data,No data,No data,No data,No data,0.0,Soft negative,FTX,0.14126514277413735,0.06221858216560746
IL36RN,0.0727388590997695,No data,0,1,0,0,0,0.5483849999999997,No data,0.9195665763700771,-0.21719161075687693,0,No data,No data,0,0.75,0.5,0.0,Soft negative,IL,0.09169434854447991,0.018955489444710417
GCLC,0.0853749555181261,No data,0,0,0,1,0,0.7174250000000001,No data,-0.6257553657011877,-0.7570686362559461,0,-1,No data,No data,0.5,-1,0.0,Soft negative,GCLC,0.14389817909534516,0.058523223577219056
MIR2052HG,0.0364238176970132,No data,No data,No data,No data,No data,No data,No data,No data,0.1308605959574911,No data,No data,No data,No data,No data,No data,No data,0.0,Soft negative,MIR,0.06492333877539586,0.02849952107838265
NDC80,0.0838720264448911,No data,0,0,0,0,0,0.18224500000000035,No data,-0.2581787872473432,No data,-1,No data,No data,No data,0.5,0,0.0,Soft negative,NDC,0.11440285641195892,0.03053082996706782
EXT1,0.3830199822713727,No data,0,0,0,0,0,0.9664900000000003,No data,-0.810377161908731,-0.7940091868815641,0,No data,No data,0,-1,-1,0.0,Soft negative,EXT,0.4468955041113388,0.06387552183996617
TRIM11,0.0809585203900988,No data,0,0,0,0,0,0.4764949999999999,No data,-0.6595123984163367,No data,0,No data,No data,0,0.5,-1,0.0,Soft negative,TRIM,0.10004835345535143,0.019089833065252616
PRAL,0.0268099386252527,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,0.0,Soft negative,PRAL,0.14599113862809948,0.1191812000028468
DNM2,0.3697702478256198,No data,0,0,1,1,0,0.9080449999999999,No data,-0.9105021879558242,-0.9513983510617979,-1,No data,-1,-0.4942525,-1,-1,0.0,Soft negative,DNM,0.4204627640229256,0.05069251619730581
ING1,0.0353687795225826,No data,0,0,0,0,0,0.48028499999999996,No data,-0.18899770785580328,-0.7353097716683582,0,No data,No data,0,-1,-1,0.0,Soft negative,ING,0.18709723169424394,0.15172845217166134
SERPINB7,0.0417000730863566,No data,0,0,0,0,0,0,No data,0.4605126067930818,No data,0,No data,No data,0,0.75,0.5,0.0,Soft negative,SERPINB,0.05377451517618755,0.012074442089830951
PTPN6,0.2812405857641875,No data,0,0,1,1,0,0.6806699999999999,No data,-0.9564492602625547,-0.9199525142453099,0,-1,No data,0,0.5,0,0.0,Soft negative,PTPN,0.35392999011089976,0.07268940434671231
ARID1B,0.4297285484751771,No data,0,0,0,0,0,0.4561549999999997,No data,-0.9778078766409669,-0.9307493145060552,0,No data,-1,0,-1,-1,0.0,Soft negative,ARID,0.4962428467048824,0.06651429822970528
EMP1,0.0473804132302076,No data,0,0,0,0,0,0,No data,-0.15284434257136903,No data,0,No data,No data,0,0.5,-1,0.0,Soft negative,EMP,0.0785478793888758,0.03116746615866819
CHD8,0.0118265553499104,No data,0,0,0,0,0,0.8140250000000002,No data,-0.9884350906438841,-0.8828015561202285,0,No data,No data,0,-1,-1,0.0,Soft negative,CHD,0.0625894454954678,0.050762890145557404
CTHRC1,0.1209606522426462,No data,0,1,0,0,0,0.6502049999999997,No data,0.5382371327359867,-0.9010696599432957,0,No data,No data,0,0.5,0,0.0,Soft negative,CTHRC,0.15524957255399854,0.03428892031135235
ENO1,0.1143422738796447,No data,1,0,1,1,1,0.7350250000000003,No data,-0.057928735153156885,No data,0,No data,No data,-0.5852525,-1,-1,0.0,Soft negative,ENO,0.22896359285491327,0.11462131897526857
RAB14,0.0550861624888305,No data,0,0,0,0,0,1,No data,-0.8713273598666389,No data,0,No data,No data,0,-1,-1,0.0,Soft negative,RAB,0.07785835830430607,0.022772195815475575
TBX4,0.0723851098778391,No data,0,0,0,0,0,0.6794849999999997,No data,-0.5655344863513232,-0.8964269705641156,0,No data,No data,0,0.5,0.5,0.0,Soft negative,TBX,0.13363166730007972,0.061246557422240624
LINC00667,0.0211173822524008,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,0.0,Soft negative,LINC,0.03727762678624855,0.016160244533847748
RAB26,0.0973253684787268,No data,1,0,0,0,0,0.296875,No data,0.6750364659304022,No data,0,No data,No data,0,0.5,0,0.0,Soft negative,RAB,0.11720735612161065,0.019881987642883844
DENND2D,0.0321407173847965,No data,0,0,0,0,0,0.5435250000000004,No data,-0.33704938528860184,No data,0,No data,No data,0,0.5,0,0.0,Soft negative,DENND,0.051862481645758296,0.0197217642609618
IGF2BP3,0.1153968264209094,No data,0,0,0,0,0,0.82729,No data,-0.9819754115440716,-0.011491042657841566,0,No data,No data,-0.33506,0.5,0.5,0.0,Soft negative,IGF,0.18003219139342333,0.06463536497251393
PCDH20,0.0328535832893117,No data,0,0,0,0,0,0.6267099999999999,No data,No data,-0.12511711754295884,0,No data,No data,0,0.5,0.5,0.0,Soft negative,PCDH,0.048403525904677995,0.015549942615366297
MBIP,0.0777965594111297,No data,0,0,0,0,0,0.0697650000000003,No data,-0.015211502396332621,0,0,No data,No data,0,-1,-1,0.0,Soft negative,MBIP,0.09383635034021777,0.016039790929088065
ECE2,0.080301489537326,No data,0,0,0,1,0,0.5817,No data,0.12481767034798907,No data,0,No data,No data,-0.04575250000000004,0.5,0.5,0.0,Soft negative,ECE,0.09911177047535144,0.018810280938025427
PGM3,0.0236531106998209,No data,0,0,0,0,0,0.3819200000000002,No data,-0.3146488851844135,-0.7933526468450852,0,No data,No data,0,-1,-1,0.0,Soft negative,PGM,0.07853902072048538,0.05488591002066449
PTMA,0.0348066873466783,No data,0,0,0,0,0,No data,No data,0.3826838924775995,-0.3025500666184963,0,No data,No data,No data,-1,-1,0.0,Soft negative,PTMA,0.07393422314850157,0.03912753580182327
TRIM13,0.0292322140187553,No data,0,0,0,0,0,0.43489000000000005,No data,-0.4578037091060637,-0.6520819405633488,0,No data,No data,0,-1,-1,0.0,Soft negative,TRIM,0.0534812098333807,0.024248995814625397
