symbol,DiseaseSpecific_ClinicLabel,globalScore,maxClinicalTrialPhase,isInMembrane,isSecreted,hasLigand,hasSmallMoleculeBinder,hasPocket,mouseOrthologMaxIdentityPercentage,hasHighQualityChemicalProbes,geneticConstraint,mouseKoScore,geneEssentiality,hasSafetyEvent,isCancerDriverGene,paralogMaxIdentityPercentage,tissueSpecificity,tissueDistribution,DiseaseSpecific_ClinicLabel,drug_information,GeneFamily,score,GeneCard_Score
IL37,0,0.360397479,No data,0,1,0,0,0,No data,No data,0.774119608,No data,0,No data,No data,0,1,0.5,0,Hard negative,IL,0.647937132,0.287539653
STAT4,0,0.452160975,No data,0,0,0,1,0,0.739305,No data,-0.693894561,-0.697972274,0,No data,No data,0,0.5,-1,0,Hard negative,STAT,0.645829778,0.193668804
PTPN2,0,0.521717108,No data,0,0,1,1,0,0.433735,0,-0.911231507,-0.77671854,0,-1,No data,0,0.5,-1,0,Hard negative,PTPN,0.642740109,0.121023001
TET2,0,0.554513928,No data,0,0,1,1,0,0,No data,0.524588456,-0.880499268,0,No data,-1,0,0.5,0,0,Hard negative,TET,0.63851001,0.083996082
EGR2,0,0.364469374,No data,0,0,0,0,0,0.443275,No data,-0.371431548,-0.942067068,0,No data,No data,0,0.5,0,0,Hard negative,EGR,0.627862609,0.263393234
PARK7,0,0.370692443,No data,0,0,1,1,0,0.57672,No data,-0.458741404,-0.340495334,0,No data,No data,No data,-1,-1,0,Hard negative,PARK,0.617318685,0.246626242
LACC1,0,0.479129401,No data,0,0,0,0,0,0,No data,0.20295895,-0.250074993,0,No data,No data,No data,-1,0,0,Hard negative,LACC,0.602382106,0.123252704
IFIH1,0,0.426270702,No data,0,0,0,0,0,0,No data,0.648260054,-0.869157213,0,No data,No data,0,0.5,-1,0,Hard negative,IFIH,0.59936321,0.173092508
SLC22A4,0,0.421581787,No data,0,0,0,0,0,0.2559,No data,0.084913524,-0.54896233,0,No data,No data,-0.4192375,0.5,0,0,Hard negative,SLC,0.59649393,0.174912143
LITAF,0,0.38579332,No data,0,0,0,0,0,0.285715,No data,0.43467389,-0.217304335,0,No data,No data,0,-1,-1,0,Hard negative,LITAF,0.594089786,0.208296466
GPR65,0,0.551158948,No data,0,0,0,0,0,0,No data,-0.097520317,-0.648167104,0,No data,No data,0,0.5,0,0,Hard negative,GPR,0.593595902,0.042436954
IL19,0,0.357586105,No data,0,1,0,0,0,0,No data,0.449885393,-0.462102464,0,-1,No data,0,0.75,0.5,0,Hard negative,IL,0.585733639,0.228147534
CDKAL1,0,0.495678503,No data,0,0,0,0,0,0.525045,No data,-0.471764951,-0.785804955,0,No data,No data,0,-1,-1,0,Hard negative,CDKAL,0.582740449,0.087061946
NKX2-3,0,0.49711919,No data,0,0,0,0,0,0.49176,No data,-0.733798708,-0.776308039,0,No data,No data,0,0.75,0.5,0,Hard negative,NKX,0.577908732,0.080789542
PTPN22,0,0.327451539,No data,1,0,1,1,0,0,No data,0.22025422,-0.777709679,0,No data,No data,0,0.5,0,0,Hard negative,PTPN,0.575553005,0.248101466
GPR35,0,0.481339088,No data,1,0,1,1,0,0,1,0.620858512,-0.591685184,0,No data,No data,0,0.5,0,0,Hard negative,GPR,0.57175147,0.090412382
TNFAIP3,0,0.410330463,No data,0,0,0,0,0,0.398735,No data,-0.890393832,-0.88256402,0,No data,-1,0,0.5,-1,0,Hard negative,TNFAIP,0.571484922,0.161154458
SNX20,0,0.523794558,No data,0,0,0,0,0,0,No data,0.65107314,No data,0,No data,No data,0,0.5,0,0,Hard negative,SNX,0.570325795,0.046531238
APC,0,0.362173758,No data,1,0,1,1,0,0.52339,No data,-0.931235674,-0.970856311,0,No data,-1,0,0.5,-1,0,Hard negative,APC,0.568926335,0.206752577
CDKN2A,0,0.395269591,No data,0,0,0,0,0,No data,No data,0.0492811,-0.710375573,0,No data,-1,-0.23077,0.5,0,0,Hard negative,CDKN,0.562866471,0.167596879
PUS10,0,0.499942759,No data,0,0,0,0,0,0.31947,No data,0.161700354,0,0,No data,No data,No data,-1,-1,0,Hard negative,PUS,0.561706598,0.061763839
ANKRD55,0,0.50784937,No data,0,0,0,0,0,0.28339,No data,-0.05313607,No data,0,No data,No data,0,0.5,0.5,0,Hard negative,ANKRD,0.559900632,0.052051262
CARD9,0,0.366347779,No data,0,0,0,0,0,0.26306,No data,0.26505522,-0.083278416,0,No data,No data,0,0.5,0,0,Hard negative,CARD,0.553264145,0.186916367
CYLD,0,0.453610014,No data,0,0,0,0,1,0.733265,No data,-0.883100646,-0.865750821,0,No data,-1,No data,0.5,-1,0,Hard negative,CYLD,0.553181831,0.099571817
H2AX,0,0.017156397,No data,0,0,0,0,0,0.86014,No data,0.705980413,-0.871867011,0,No data,No data,-0.58042,-1,-1,0,Soft negative,H,0.048178792,0.031022395
RBMX,0,0.007391597,No data,0,0,0,0,0,0.93606,No data,-0.585226089,-0.216199714,-1,No data,No data,-0.8721225,-1,-1,0,Soft negative,RBMX,0.026816032,0.019424435
ADSL,0,0.031569703,No data,0,0,0,0,1,0.700415,No data,0.196603459,-0.770442158,-1,No data,No data,0,0.75,-1,0,Soft negative,ADSL,0.071572382,0.040002679
GMPPB,0,0.071062476,No data,0,0,0,0,0,0.90278,No data,0.224005001,-0.02206091,-1,No data,No data,0,-1,-1,0,Soft negative,GMPPB,0.13390945,0.062846973
USP47,0,0.017263896,No data,0,0,1,1,0,0.75277,No data,-0.957282767,-0.125117118,0,No data,No data,0,-1,-1,0,Soft negative,USP,0.02319367,0.005929774
AQP9,0,0.148126778,No data,1,0,0,0,0,0,No data,-0.305897062,-0.166627036,0,No data,No data,0,1,0,0,Soft negative,AQP,0.163845589,0.015718812
HSPA2,0,0.002465696,No data,0,0,1,1,1,0.921755,No data,-0.295582413,0,0,No data,No data,-0.6830975,0.5,0,0,Soft negative,HSPA,0.036480628,0.034014933
GRID2IP,0,0.200707995,No data,1,0,0,0,0,0.529315,No data,-0.600333403,No data,0,No data,No data,0,0.5,1,0,Soft negative,GRID,0.216444358,0.015736363
CLDN4,0,0.029071611,No data,1,0,0,0,0,0,No data,0.847259846,-0.714640624,0,No data,No data,-0.2464125,0.5,0,0,Soft negative,CLDN,0.08118979,0.052118179
ASIC3,0,0.003695799,No data,0,0,1,1,0,0.143125,No data,-0.103563242,-0.849987267,0,No data,No data,0,0.5,0,0,Soft negative,ASIC,0.024719522,0.021023723
CAVIN1,0,0.227293466,No data,1,0,0,0,0,0.653845,No data,0.211606585,-0.915175356,0,No data,No data,0,-1,-1,0,Soft negative,CAVIN,0.271617109,0.044323643
NPC1,0,0.043778607,No data,0,0,1,1,0,0.299685,0,-0.514898937,-0.972172063,0,No data,No data,0,-1,-1,0,Soft negative,NPC,0.534937988,0.491159381
ACTR1A,0,0.092339666,No data,0,0,0,0,0,1,No data,-0.719003959,No data,-1,No data,No data,-0.7606375,-1,-1,0,Soft negative,ACTR,0.103978751,0.011639085
SOX8,0,0.007051317,No data,0,0,0,0,0,0.181615,No data,-0.482600542,0,0,No data,No data,0,1,0,0,Soft negative,SOX,0.026848968,0.019797651
CEACAM6,0,0.060363101,No data,1,0,0,0,0,0,No data,0.364555116,-0.809646681,0,No data,No data,-0.57122,0.5,0,0,Soft negative,CEACAM,0.127277922,0.066914821
CYBA,0,0.022797025,No data,1,0,0,0,0,0.20513,No data,0.701291936,-0.313362387,0,-1,No data,No data,0.5,-1,0,Soft negative,CYBA,0.295242008,0.272444983
GNAS,0,0.005504674,No data,1,0,0,0,0,0.69543,No data,-0.663575745,-0.961622501,0,No data,-1,-0.28934,-1,-1,0,Soft negative,GNAS,0.148697912,0.143193238
ACTR3,0,0.02420748,No data,0,0,1,1,0,0.98804,No data,-0.967597416,No data,-1,No data,No data,-0.7667475,-1,-1,0,Soft negative,ACTR,0.049525909,0.025318429
DOCK9,0,0.001454388,No data,0,0,0,0,0,0.746655,No data,-0.89820796,-0.142756453,0,No data,No data,0,-1,-1,0,Soft negative,DOCK,0.018784981,0.017330594
CLYBL,0,0.012637789,No data,0,0,0,0,0,0.25,No data,0.459887477,No data,0,No data,No data,No data,0.5,-1,0,Soft negative,CLYBL,0.028105147,0.015467357
ACE2,0,0.136483122,No data,1,1,1,1,1,0.10559,No data,-0.824546781,-0.977388176,0,No data,No data,0,0.5,0,0,Soft negative,ACE,0.265318439,0.128835317
COL16A1,0,0.005249585,No data,0,1,0,0,0,0.379675,No data,-0.348405918,-0.101334916,0,No data,No data,0,0.5,0,0,Soft negative,COL,0.011332211,0.006082626
TCIRG1,0,0.036847112,No data,0,0,0,0,0,0.198795,No data,-0.055011461,-0.794449098,0,No data,No data,0,0.5,0,0,Soft negative,TCIRG,0.094734316,0.057887205
RRBP1,0,0.004250168,No data,0,0,0,0,0,0.01773,No data,-0.290060429,-0.645450836,0,No data,No data,No data,0.5,-1,0,Soft negative,RRBP,0.027567961,0.023317792
NXPE4,0,0.258881982,No data,0,1,0,0,0,0,No data,0.669201917,No data,0,No data,No data,-0.1957725,0.75,0.5,0,Soft negative,NXPE,0.275750274,0.016868292
THBS1,0,0.056372637,No data,1,1,1,1,0,0.735045,No data,-0.843925818,-0.959189091,0,No data,No data,-0.0405975,-1,0,0,Soft negative,THBS,0.153646316,0.09727368
GSDMB,0,0.199154068,No data,0,0,0,0,0,No data,No data,0.175557408,No data,0,No data,No data,0,0.5,0,0,Soft negative,GSDMB,0.289731137,0.09057707
SPRED2,0,0.459762804,No data,0,0,0,0,0,0.605265,No data,0.195769952,-0.817793909,0,No data,No data,0,-1,-1,0,Soft negative,SPRED,0.505130868,0.045368064
NUDT15,0,0.051458187,No data,0,0,0,0,0,0.45122,1,0.544696812,-0.411554054,0,-1,No data,No data,-1,-1,0,Soft negative,NUDT,0.106878563,0.055420376
CIRBP,0,0.039017149,No data,0,0,0,0,0,0,No data,-0.377995416,0,0,No data,No data,0,-1,-1,0,Soft negative,CIRBP,0.063411423,0.024394275
BID,0,0.017235059,No data,0,0,1,1,0,0,No data,0.943321525,-0.619821547,0,-1,No data,No data,0.5,-1,0,Soft negative,BID,0.049480259,0.0322452
NAALADL1,0,0.043937213,No data,0,0,0,0,0,0.08108,No data,0.352365076,No data,0,No data,No data,0,1,-1,0,Soft negative,NAALADL,0.049927684,0.005990471
LIMK1,0,0.002956639,No data,0,0,1,1,0,0.760435,1,-0.855699104,-0.27542017,0,No data,No data,0,1,-1,0,Soft negative,LIMK,0.038680261,0.035723622
CARMIL2,0,0.057772094,No data,1,0,0,0,0,0.247385,No data,-0.430923109,-0.170831891,0,No data,No data,0,0.5,0,0,Soft negative,CARMIL,0.137064055,0.079291961
SKIC3,0,0.004876401,No data,0,0,0,0,0,0.232735,No data,-0.157116066,-0.699682768,0,No data,No data,No data,-1,-1,0,Soft negative,SKIC,0.083157602,0.078281201
CCNB1,0,0.008343881,No data,0,0,1,1,0,0.29561,No data,-0.434778079,0,-1,No data,No data,0,0.5,-1,0,Soft negative,CCNB,0.034108504,0.025764623
RALGAPA1,0,0.060591222,No data,0,0,0,0,0,0.518095,No data,-0.847259846,-0.832891437,0,No data,No data,0,-1,-1,0,Soft negative,RALGAPA,0.075142363,0.01455114
ALDH1L1,0,0.016791511,No data,0,0,0,0,0,0.611975,No data,-0.166076266,-0.601811667,0,No data,No data,-0.3542125,0.5,0,0,Soft negative,ALDH,0.036243596,0.019452086
SLC26A2,0,0.046273902,No data,0,0,0,0,0,0.04601,No data,0.240154199,-0.709319993,0,No data,No data,0,1,-1,0,Soft negative,SLC,0.121547966,0.075274064
RBP4,0,0.013844849,No data,0,1,1,1,1,0.278605,No data,-0.383309023,-0.869066974,0,No data,No data,No data,1,0,0,Soft negative,RBP,0.132194501,0.118349652
